Summary,Description,Issue Type,Priority,Component/s,Status
sourcetree fails install open,upon running sourcetree installer get cmd line popup squirrelupdate stays blank get blue sourcetree panel popup seconds close actions taken pc happens even attempting install previous versions enterprise version one thing note output sourcetreelogt compositionexception import sourcetreesecuritydefaultsshkeymanageragents could satisfiederror sourcetreecompositionvsmefnetcompositionexceptionhelper log compositionexception import sourcetreesecuritydefaultsshkeymanageragents could satisfiedt compositionexception import sourcetreesecuritydefaultsshkeymanageragents could satisfiederror sourcetreecompositionvsmefnetcompositionexceptionhelper log compositionexception import sourcetreesecuritydefaultsshkeymanageragents could satisfied,bug,Low,General,Short Term Backlog
cant push branch azure git,git c diffmnemonicprefixfalse c corequotepathfalse nooptionallocks push v tags setupstream origin featurefeaturenamefeaturefeaturenamepushing main sh dofork child died waiting dll loading errno sig sh getproclock couldnt acquire syncprocsubproc last win error sig sh procsubproc couldnt get proc lock val main sh cygwinexceptionopenstackdumpfile dumping stack trace shexestackdumperror failed push refs errors see,bug,Low,Git,Needs Triage
custom actions working,attempting run custom action nothing used work perfectly neither scripts settings custom actions changed replicateright click commit custom actions action,bug,Low,General,Needs Triage
cannot log repository source tree creating app password,recently started getting message company uses single signon needed create app password log try commit changes source tree still get messagei source tree version doesnt show drop list,bug,Low,Bitbucket,Needs Triage
check sourctree always tries clone new complains missing details,choose check sourctree button always proposes clone new repository choose checkout existing point cloned repository complains missing details see image repository cloned minutes ago using sourcetree choose clone new successfully cloned selected branch trying using checkout existing complain see imagethe instance choose option checkout existing clone fresh repository dont close sourctree checkout fail sourctree close without pulling new branchpullpushfetch operations within sourctree work flawlessly trouble using check sourctree button bitbucketimagepng,bug,Low,Bitbucket,Needs Triage
sourctree closes checkout sourctree button used bitbucket,use sourcetree git gui bitbucket git hosting service click check sourcetree button sourcetree show appropriate dialog allows choose check clone dialog closed matter result sourctree close either terrible ui design crash without error message suspect latter hence,bug,Low,Bitbucket,Needs Triage
problem trying setup sourcetree,helloi trying setting sourcetreei code years ago try install sourcetree running setup sourcetree openedbut see three account left pane dont know matters seconds program aborted please help thanks,bug,Low,Bitbucket,Needs Triage
remote details github repository settings dont get saved,restarting sourcetree always goes back default generic accountgeneric host despite previously selected github account saved applies upstream origin settings see world icon remote top right red mark goes away selected github account mentioned comes back restartingscreenshot,bug,Low,General,Needs Triage
cannot install sourcetree windows v windows,cannot install sourcetree windows v windows registering product step atlassian account opens dead link cant proceed newer versions wont work windows,bug,Low,Bitbucket,Needs Triage
authentication working,performing operation bitbucket repo using sourcetree causes errorsupon performing action requiring connection remote pull push etc login prompts appear never stop app password sourcetree doesnt work main bitbucket password also doesnt work additionally ssh key set bitbucket computer im running sourcetreethis first time ive experienced getting sourcetree properly authenticate bitbucket like pulling teeth remove computer replace something actually works want give one last shottheres even bug ticket reporting system im running sourcetree telling version doesnt exist,bug,Low,Bitbucket,Needs Triage
cant use authentication options,go authentication tab options menu see blank entriesimagepngit worked properly far,bug,Low,General,Needs Triage
galaxy envato elements music tracks section wrong translation russian language,steps produce go envatocom tab browse allexpected result line written actual result line written,bug,Low,Web,Closed
add account remote tab opens edit hosting account window username ready,hii trying add new repo locally open new tab sourcetree click remote subtab click add accounthowever opens window named edit hosting account edit doesnt really make sense clicked add button confusing addition credentials section oauth default value authentication username field read onlyis purposethe workaround change authentication basic edit username field becomes editable switch authentication back oauth finally click refresh oauth token button possible attach screenshot show detailsi using sourcetree v windows bit v,bug,Low,General,Needs Triage
unable open web browser message,start sourcetree winows version remote button red expalmation mark next click says unable open web browser gitbitbucketorgmyrepository default web browser seti click cancel popup settings far right select remote click edit dont change anything click ok click ok exclamation mark disappears open remote repository web browser resave already existing information nothing new change anythingexpected behavior opening saving required open remote web browser first time way version missing affects versions field chose random one,bug,Low,remote,Needs Triage
